nohup: ignoring input
--faucet-sol argument ignored, ledger already exists
Ledger location: test-ledger
Log: test-ledger/validator.log
Initializing...
Waiting for fees to stabilize 1...
Connecting...
Identity: A8dbc5Q2ygioFjaqQxhoZWUZvtrexucLJFj2sHcdFHkC
Genesis Hash: DdWgBiQBSEyMwRw8bwoCYHFuYVmLSJxCfMRfefoSeSrc
Version: 1.18.20
Shred Version: 35959
Gossip Address: 127.0.0.1:1024
TPU Address: 127.0.0.1:1027
JSON RPC URL: http://127.0.0.1:8899
WebSocket PubSub URL: ws://127.0.0.1:8900
00:00:06 | Processed Slot: 2430 | Confirmed Slot: 2430 | Finalized Slot: 2397 | Full Snapshot Slot: 2302 | Incremental Snapshot Slot: - | Transactions: 2655 | ◎499.988470000
00:00:06 | Processed Slot: 2430 | Confirmed Slot: 2430 | Finalized Slot: 2397 | Full Snapshot Slot: 2302 | Incremental Snapshot Slot: - | Transactions: 2655 | ◎499.988470000
00:00:07 | Processed Slot: 2431 | Confirmed Slot: 2431 | Finalized Slot: 2398 | Full Snapshot Slot: 2302 | Incremental Snapshot Slot: - | Transactions: 2656 | ◎499.988465000
00:00:07 | Processed Slot: 2432 | Confirmed Slot: 2432 | Finalized Slot: 2399 | Full Snapshot Slot: 2302 | Incremental Snapshot Slot: - | Transactions: 2657 | ◎499.988460000
00:00:07 | Processed Slot: 2432 | Confirmed Slot: 2432 | Finalized Slot: 2399 | Full Snapshot Slot: 2302 | Incremental Snapshot Slot: - | Transactions: 2657 | ◎499.988460000
00:00:07 | Processed Slot: 2433 | Confirmed Slot: 2433 | Finalized Slot: 2400 | Full Snapshot Slot: 2302 | Incremental Snapshot Slot: - | Transactions: 2658 | ◎499.988455000
00:00:08 | Processed Slot: 2433 | Confirmed Slot: 2433 | Finalized Slot: 2400 | Full Snapshot Slot: 2302 | Incremental Snapshot Slot: - | Transactions: 2658 | ◎499.988455000
00:00:08 | Processed Slot: 2434 | Confirmed Slot: 2434 | Finalized Slot: 2401 | Full Snapshot Slot: 2302 | Incremental Snapshot Slot: - | Transactions: 2659 | ◎499.988450000
00:00:08 | Processed Slot: 2435 | Confirmed Slot: 2435 | Finalized Slot: 2402 | Full Snapshot Slot: 2302 | Incremental Snapshot Slot: - | Transactions: 2660 | ◎499.988445000
00:00:08 | Processed Slot: 2435 | Confirmed Slot: 2435 | Finalized Slot: 2402 | Full Snapshot Slot: 2302 | Incremental Snapshot Slot: - | Transactions: 2660 | ◎499.988445000
00:00:09 | Processed Slot: 2436 | Confirmed Slot: 2436 | Finalized Slot: 2403 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2661 | ◎499.988440000
00:00:09 | Processed Slot: 2437 | Confirmed Slot: 2437 | Finalized Slot: 2404 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2662 | ◎499.988435000
00:00:09 | Processed Slot: 2437 | Confirmed Slot: 2437 | Finalized Slot: 2404 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2662 | ◎499.988435000
00:00:09 | Processed Slot: 2438 | Confirmed Slot: 2438 | Finalized Slot: 2405 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2663 | ◎499.988430000
00:00:10 | Processed Slot: 2438 | Confirmed Slot: 2438 | Finalized Slot: 2405 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2663 | ◎499.988430000
